Owner,Situs Address,ZIP,Parcel ID,Geo ID,Land Type,Acres,Market Value
222 EAST 6TH LLC,E 222 6 ST   TX 78701,78701,194466,0206031208,COMMERCIAL IMPROVED,0.1205,"$4,473,897"
2425 ELMONT LLC,W 507 17 ST   TX 78701,78701,199755,0210021008,COMMERCIAL IMPROVED,0.13519999,"$736,000"
2ND STREET DEVELOPMENT LLC,E 307 2 ST   TX 78701,78701,192856,0205021402,COMMERCIAL RES CONVERSION,0.52649999,"$13,334,025"
301 E 5TH STREET LTD &,E 301 5 ST   TX 78701,78701,192873,0205021701,COMMERCIAL IMPROVED,0.2703,"$7,841,521"
301 LTD,W 313 12 ST   TX 78701,78701,196870,0208011416,VACANT LOT,0.22409999,"$1,708,000"
301 PARTNERS LTD,E 310 3 ST   TX 78701,78701,192870,0205021602,COMMERCIAL IMPROVED,0.13519999,"$6,596,226"
301 PARTNERS LTD,E 308 3 ST   TX 78701,78701,192871,0205021603,COMMERCIAL DETAILS,0.13519999,"$4,300,000"
301 SAN JACINTO MANAGER LLC,  301 SAN JACINTO BLVD   TX 78701,78701,192872,0205021604,COMMERCIAL IMPROVED,0.54070002,"$25,000,000"
"305 SERIES E 5TH, FCDE LLC",E 305 5 ST   TX 78701,78701,192874,0205021702,COMMERCIAL IMPROVED,0.13519999,"$4,360,676"
316 CONGRESS AVENUE LP,  316 CONGRESS AVE   TX 78701,78701,192789,0205020106,COMMERCIAL IMPROVED,0.17,"$4,647,037"
316 E SIXTH LLC,E 316 6 ST   TX 78701,78701,194507,0206031709,COMMERCIAL IMPROVED,0.0676,"$1,364,391"
321 W 6TH STREET OWNER LLC,W 321 6 ST   TX 78701,78701,194289,0206011302,COMMERCIAL IMPROVED,0.34310001,"$39,017,683"
321 W 6TH STREET OWNER LLC,W 311 6 ST   TX 78701,78701,194290,0206011306,VACANT LOT,0,"$2,971,800"
323 E 6TH ST LLC,E 323 6 ST   TX 78701,78701,194496,0206031613,COMMERCIAL IMPROVED,0.0411,"$858,240"
